,P,ET,D
2002-11-18,0.0,0.25408244,1.3159258961677551
2002-11-19,0.0,0.25806183,1.5739877223968506
2002-11-20,0.0,0.26604682,1.840034544467926
2002-11-21,0.0,0.24790078,2.0879353284835815
2002-11-22,0.0,0.24561071,2.3335460424423218
2002-11-23,0.0,0.22396123,2.557507276535034
2002-11-24,0.0,0.21109653,2.768603801727295
2002-11-25,0.0,0.22744387,2.9960476756095886
2002-11-26,0.0,0.2651446,3.261192262172699
2002-11-27,0.0,0.27319974,3.53439199924469
2002-11-28,0.0,0.2546519,3.78904390335083
2002-11-29,0.0,0.23153883,4.020582735538483
2002-11-30,0.0,0.22212362,4.24270635843277
2002-12-01,0.0,0.21378833,4.456494688987732
2002-12-02,0.0,0.23033756,4.686832249164581
2002-12-03,0.0,0.24127269,4.928104937076569
2002-12-04,0.0,0.2370432,5.165148138999939
2002-12-05,0.0,0.25890142,5.424049556255341
2002-12-06,0.0,0.26154834,5.685597896575928
2002-12-07,0.0,0.25983208,5.945429980754852
2002-12-08,0.0,0.2633695,6.208799481391907
2002-12-09,0.6079999804496765,0.2548514,5.855650901794434
2002-12-10,3.046999931335449,0.27168995,3.0803409218788147
2002-12-11,0.0,0.2753954,3.3557363152503967
2002-12-12,0.5870000123977661,0.26647383,3.035210132598877
2002-12-13,18.68400001525879,0.27779996,0.0
2002-12-14,43.91699981689453,0.2416746,0.0
2002-12-15,27.7810001373291,0.2283904,0.0
2002-12-16,36.797000885009766,0.20965052,0.0
2002-12-17,3.681999921798706,0.2490235,0.0
2002-12-18,0.06700000166893,0.26269037,0.19569036364555364
2002-12-19,2.0199999809265137,0.28192985,0.0
2002-12-20,22.13500022888184,0.27165502,0.0
2002-12-21,10.444000244140623,0.28386098,0.0
2002-12-22,0.5220000147819519,0.27350086,0.0
2002-12-23,0.0,0.2816484,0.2816483974456787
2002-12-24,0.0,0.28211933,0.5637677311897278
2002-12-25,0.0,0.26551688,0.8292846083641052
2002-12-26,6.954999923706055,0.2956918,0.0
2002-12-27,12.923999786376951,0.30045182,0.0
2002-12-28,4.519999980926514,0.31761974,0.0
2002-12-29,13.192999839782717,0.34092563,0.0
2002-12-30,5.335000038146973,0.34282076,0.0
2002-12-31,21.01799964904785,0.35744607,0.0
2003-01-01,0.6850000023841858,0.38871694,0.0
2003-01-02,0.2809999883174896,0.3983755,0.11737552285194397
2003-01-03,0.0,0.42934662,0.5467221438884735
2003-01-04,0.0,0.4530838,0.9998059570789337
2003-01-05,0.0,0.454583,1.4543889462947845
2003-01-06,0.0,0.47455812,1.9289470613002777
2003-01-07,0.0,0.4979012,2.4268482625484467
2003-01-08,0.0,0.5087278,2.9355760514736176
2003-01-09,0.9710000157356262,0.5174194,2.4819954335689545
2003-01-10,15.362000465393066,0.5361227,0.0
2003-01-11,6.872000217437744,0.5666419,0.0
2003-01-12,2.513999938964844,0.5624288,0.0
2003-01-13,26.020000457763672,0.5504348,0.0
2003-01-14,1.3730000257492063,0.5572511,0.0
2003-01-15,0.6039999723434448,0.5690031,0.0
2003-01-16,0.0,0.5845769,0.5845769047737122
2003-01-17,0.0,0.6036725,1.188249409198761
2003-01-18,0.0,0.63143736,1.819686770439148
2003-01-19,0.0,0.65558976,2.475276529788971
2003-01-20,0.5529999732971191,0.67861813,2.6008946895599365
2003-01-21,5.26200008392334,0.7204895,0.0
2003-01-22,5.519999980926514,0.7493663,0.0
2003-01-23,7.217000007629394,0.77241427,0.0
2003-01-24,1.1959999799728394,0.7766648,0.0
2003-01-25,0.3759999871253967,0.79573965,0.4197396636009217
2003-01-26,0.0,0.8044398,1.224179446697235
2003-01-27,0.4699999988079071,0.8077682,1.5619476735591888
2003-01-28,0.0,0.8178489,2.3797965943813324
2003-01-29,0.0,0.82685864,3.2066552340984344
2003-01-30,0.0,0.8353838,4.042039006948471
2003-01-31,0.0,0.8353737,4.877412706613541
2003-02-01,0.5559999942779541,0.82692647,5.148339182138443
2003-02-02,0.0,0.83010674,5.978445917367935
2003-02-03,0.0,0.8458688,6.824314743280411
2003-02-04,0.0,0.8589732,7.68328794836998
2003-02-05,0.0,0.8793062,8.562594145536423
2003-02-06,0.0,0.9101916,9.472785741090775
2003-02-07,0.0,0.93918765,10.411973387002945
2003-02-08,0.0,0.9710027,11.382976084947586
2003-02-09,0.0,0.99737453,12.38035061955452
2003-02-10,0.0,1.0256987,13.406049281358719
2003-02-11,0.0,1.0513479,14.457397133111954
2003-02-12,0.0,1.0662951,15.523692280054092
2003-02-13,23.15399932861328,1.0838546,0.0
2003-02-14,2.602999925613404,1.0560349,0.0
2003-02-15,0.6759999990463257,1.0471473,0.3711472749710083
2003-02-16,14.600000381469728,1.0804199,0.0
2003-02-17,0.0,1.0796605,1.0796605348587036
2003-02-18,1.5889999866485596,1.1113317,0.6019922494888306
2003-02-19,0.9829999804496764,1.134128,0.753120243549347
2003-02-20,0.0,1.1605104,1.9136306643486023
2003-02-21,0.0,1.1871418,3.100772440433502
2003-02-22,0.0,1.2152214,4.315993845462799
2003-02-23,0.0,1.2517534,5.5677472949028015
2003-02-24,0.0,1.2947941,6.862541377544403
2003-02-25,1.281999945640564,1.3317419,6.912283360958099
2003-02-26,0.0,1.5916655,8.503948867321014
2003-02-27,0.1340000033378601,1.6565349,10.02648377418518
2003-02-28,0.0,1.7096307,11.736114501953125
2003-03-01,0.0,1.727658,13.463772535324097
2003-03-02,0.0,1.5007373,14.964509844779968
2003-03-03,0.0,1.5168533,16.4813631772995
2003-03-04,0.0,1.5344927,18.01585590839386
2003-03-05,0.0,1.556546,19.572401881217957
2003-03-06,0.0,1.5733511,21.145753026008606
2003-03-07,0.0,1.5876505,22.73340356349945
2003-03-08,0.0,1.5989707,24.332374215126038
2003-03-09,0.0,1.6076783,25.94005250930786
2003-03-10,0.2879999876022339,1.6112196,27.263272166252136
2003-03-11,0.0,1.6067969,28.87006902694702
2003-03-12,0.0,1.6176713,30.48774027824402
2003-03-13,0.0,1.6274121,32.11515235900879
2003-03-14,15.744000434875488,1.7427137,18.113865613937378
2003-03-15,24.7810001373291,1.9139731,0.0
2003-03-16,3.562999963760376,1.9501045,0.0
2003-03-17,3.095999956130981,2.025786,0.0
2003-03-18,0.0,2.0296621,2.0296621322631836
2003-03-19,0.0,2.0285187,4.058180809020996
2003-03-20,2.0850000381469727,2.0372932,4.010473966598511
2003-03-21,0.0,2.0241597,6.034633636474609
2003-03-22,0.0,2.0167296,8.051363229751587
2003-03-23,1.3300000429153442,1.9972773,8.718640446662903
2003-03-24,0.0,1.9874324,10.706072807312012
2003-03-25,0.0,1.9726777,12.67875051498413
2003-03-26,0.006000000052154,1.9846557,14.657406252808869
2003-03-27,0.0,2.0115788,16.668985051102936
2003-03-28,0.0,2.005226,18.674210947938263
2003-03-29,0.0,1.97124,20.6454509915784
2003-03-30,0.0,2.024593,22.670044106431305
2003-03-31,0.0,2.0230994,24.69314352888614
2003-04-01,0.0,2.0018115,26.694955033250153
2003-04-02,1.0839999914169312,2.0413141,27.652269166894257
2003-04-03,0.9800000190734864,2.1526918,28.82496098894626
2003-04-04,4.303999900817871,2.2321086,26.75306968111545
2003-04-05,0.6830000281333923,2.2615051,28.33157477993518
2003-04-06,0.0,2.2771032,30.608677965588868
2003-04-07,0.0,2.2345617,32.843239647336304
2003-04-08,0.0,2.187685,35.03092466015369
2003-04-09,0.0,2.0155602,37.04648481030017
2003-04-10,0.0,2.1939514,39.24043617863208
2003-04-11,0.0,2.2617211,41.50215731281787
2003-04-12,2.756999969482422,2.3144221,41.05957947392017
2003-04-13,19.117000579833984,2.3879466,24.330525499768555
2003-04-14,1.875,2.2405057,24.696031195111573
2003-04-15,0.0,2.3021605,26.998191696591675
2003-04-16,1.0369999408721924,2.3225584,28.28375015873462
2003-04-17,2.990000009536743,2.3262594,27.620009523816407
2003-04-18,0.3770000040531158,2.3456912,29.588700723834336
2003-04-19,0.0,2.041158,31.62985868472606
2003-04-20,0.0,2.049456,33.679314565844834
2003-04-21,0.3449999988079071,2.110322,35.44463656563312
2003-04-22,4.541999816894531,2.1892653,33.091901999898255
2003-04-23,0.0,2.2135696,35.305471641011536
2003-04-24,3.9040000438690186,2.2226503,33.62412188667804
2003-04-25,2.3559999465942383,2.38943,33.657551986165345
2003-04-26,6.289999961853027,2.4316914,29.799243432469666
2003-04-27,0.4620000123977661,2.4499893,31.787232738919556
2003-04-28,6.699999809265137,2.5346942,27.62192712444812
2003-04-29,4.906000137329102,2.5495238,25.265450817532837
2003-04-30,0.8159999847412109,2.5512948,27.00074563641101
2003-05-01,0.0,2.5826578,29.58340345043689
2003-05-02,1.3339999914169312,2.6147149,30.864118319936097
2003-05-03,16.643999099731445,2.711225,16.931344253011048
2003-05-04,3.828999996185303,2.7210813,15.8234255136922
2003-05-05,0.3429999947547912,2.730885,18.21131054777652
2003-05-06,0.0,2.7351627,20.946473282761872
2003-05-07,7.793000221252441,2.7837262,15.93719927687198
2003-05-08,0.0469999983906745,2.7701142,18.660313461907208
2003-05-09,1.0169999599456787,2.7584786,20.40179214347154
2003-05-10,0.0,2.7196846,23.121476744301617
2003-05-11,0.0,2.698381,25.819857691414654
2003-05-12,0.0,2.6765213,28.496378992684186
2003-05-13,0.0,2.6547956,31.151174639351666
2003-05-14,0.0,2.6337225,33.7848971830681
2003-05-15,0.0,2.6172128,36.40210995543748
2003-05-16,0.0,2.570568,38.97267804015428
2003-05-17,0.0,2.5514326,41.524110649712384
2003-05-18,0.0,2.47829,44.002400730736554
2003-05-19,0.0,2.3466506,46.3490513311699
2003-05-20,0.0,2.2375007,48.586551998741925
2003-05-21,0.0,2.1576648,50.74421677459031
2003-05-22,0.0,2.0558677,52.800084446556866
2003-05-23,0.0,1.9363513,54.736435745842755
2003-05-24,0.0,1.87798,56.614415739662945
2003-05-25,0.0,1.8365111,58.450926874764264
2003-05-26,0.0,1.8014598,60.25238666404039
2003-05-27,0.0,1.791707,62.04409370291978
2003-05-28,0.0,1.7625577,63.80665144789964
2003-05-29,0.0,1.681291,65.48794243205339
2003-05-30,0.0,1.639283,67.12722537387162
2003-05-31,0.0,1.6107631,68.73798844683915
2003-06-01,0.0,1.6105407,70.34852919448167
2003-06-02,0.0,1.5889324,71.93746158946306
2003-06-03,0.0,1.5564129,73.49387452472001
2003-06-04,0.0,1.5629729,75.05684742797166
2003-06-05,0.0,1.561965,76.61881241668016
2003-06-06,0.0,1.563922,78.18273446429521
2003-06-07,0.0,1.5605394,79.74327382910997
2003-06-08,0.0,1.5582366,81.30151042807847
2003-06-09,0.0,1.5554421,82.85695252288133
2003-06-10,0.0,1.5577517,84.41470417845994
2003-06-11,0.0,1.5589972,85.97370133269578
2003-06-12,0.0,1.5596547,87.53335604537278
2003-06-13,0.0,1.5569961,89.09035215247422
2003-06-14,0.0,1.5509933,90.64134547580034
2003-06-15,0.0,1.545347,92.18669245112687
2003-06-16,0.0,1.5398035,93.72649595607072
2003-06-17,0.0,1.5443839,95.27087983954698
2003-06-18,0.0,1.5267329,96.79761276114732
2003-06-19,0.0,1.5020742,98.2996870027855
2003-06-20,0.0,1.4926589,99.79234585631639
2003-06-21,0.0,1.4823596,101.27470550406724
2003-06-22,0.0,1.4674217,102.74212715495378
2003-06-23,0.0,1.4521072,104.1942343460396
2003-06-24,0.0,1.429409,105.6236433731392
2003-06-25,0.0,1.4067445,107.03038785327226
2003-06-26,0.0,1.3766779,108.40706572402269
2003-06-27,0.0,1.3379813,109.74504706729203
2003-06-28,0.0,1.3098333,111.05488035548478
2003-06-29,0.0,1.28692,112.34180030692369
2003-06-30,0.0,1.2479364,113.58973667491227
2003-07-01,0.0,1.2085841,114.79832074511796
2003-07-02,0.0,1.1683575,115.96667823661119
2003-07-03,0.0,1.1464864,117.11316463816911
2003-07-04,0.0,1.1248713,118.2380358921364
2003-07-05,0.0,1.1058971,119.34393296111375
2003-07-06,0.0,1.0836965,120.42762944567949
2003-07-07,0.0,1.0602697,121.48789915908128
2003-07-08,0.0,1.0375775,122.52547666896135
2003-07-09,0.0,1.0211159,123.54659256804734
2003-07-10,0.0,1.0210826,124.56767520774156
2003-07-11,0.0,1.027924,125.5955991493538
2003-07-12,0.0,1.0229969,126.61859605181962
2003-07-13,0.0,1.0010927,127.61968872416764
2003-07-14,0.0,0.96589035,128.58557907212526
2003-07-15,0.0,0.9254605,129.51103958953172
2003-07-16,0.0,0.8896221,130.40066168177873
2003-07-17,0.0,0.85475945,131.2554211365059
2003-07-18,0.0,0.8405414,132.095962558873
2003-07-19,0.0,0.8452911,132.94125363696367
2003-07-20,0.0,0.838089,133.77934262622148
2003-07-21,0.0,0.83198893,134.6113315569237
2003-07-22,0.0,0.83402836,135.44535992015153
2003-07-23,0.0,0.8433931,136.28875300753862
2003-07-24,0.0,0.84835327,137.13710627425462
2003-07-25,0.0,0.8473809,137.98448715079576
2003-07-26,0.0,0.8515938,138.83608094323426
2003-07-27,0.0,0.8636229,139.69970384705812
2003-07-28,0.0,0.9104116,140.61011544335634
2003-07-29,0.0,0.9769045,141.58701995480806
2003-07-30,0.0,0.9863997,142.57341966498643
2003-07-31,0.0,0.9685671,143.54198673833162
2003-08-01,1.9040000438690183,0.9539375,142.59192416537553
2003-08-02,1.2330000400543213,0.9516637,142.31058779824525
2003-08-03,0.2560000121593475,0.95146537,143.00605315435678
2003-08-04,0.0,0.94995123,143.95600438583642
2003-08-05,0.0,0.97708523,144.9330896185711
2003-08-06,0.0,0.9928764,145.92596602905542
2003-08-07,0.0,0.9826662,146.90863222349435
2003-08-08,0.0,0.96531343,147.87394565809518
2003-08-09,0.0,0.9476519,148.82159758079797
2003-08-10,0.0,0.9336645,149.75526208151132
2003-08-11,0.0,0.91850626,150.6737683461979
2003-08-12,0.0,0.90321887,151.5769872115925
2003-08-13,0.0,0.8813288,152.45831603277475
2003-08-14,0.0,0.87776774,153.3360837744549
2003-08-15,0.0,0.8773156,154.21339935529977
2003-08-16,0.0,0.88821495,155.10161430109292
2003-08-17,0.0,0.9138117,156.0154259847477
2003-08-18,0.0,0.9299799,156.94540590513498
2003-08-19,0.0,0.9295762,157.87498212326318
2003-08-20,0.0,0.9262611,158.80124325025827
2003-08-21,0.0,0.9290454,159.7302886294201
2003-08-22,6.804999828338623,0.95052135,153.8758101509884
2003-08-23,0.0,0.9445464,154.8203565524891
2003-08-24,0.0,0.9751556,155.79551214445382
2003-08-25,0.0,0.9909284,156.7864405559376
2003-08-26,0.0,0.9757795,157.76222002971917
2003-08-27,0.0,0.9407491,158.70296913851053
2003-08-28,0.0,0.9085218,159.6114909099415
2003-08-29,0.0,0.88620496,160.49769586790353
2003-08-30,0.0,0.89293206,161.3906279252842
2003-08-31,0.0,0.90187365,162.29250157345086
2003-09-01,0.0,0.89789754,163.19039911497384
2003-09-02,0.0,0.90446794,164.09486705530435
2003-09-03,0.0,0.9131016,165.00796866882592
2003-09-04,0.652999997138977,0.91149354,165.26646221149713
2003-09-05,0.0,0.90244085,166.16890305746347
2003-09-06,0.0,0.9181366,167.08703965414315
2003-09-07,0.0,0.9378011,168.02484077680856
2003-09-08,0.0,0.9608554,168.9856962012127
2003-09-09,0.0,0.98753816,169.9732343601063
2003-09-10,0.0,0.97279626,170.94603062141687
2003-09-11,0.0,0.97417897,171.92020959127694
2003-09-12,0.0,0.95357853,172.87378812301904
2003-09-13,0.0,0.9066252,173.7804133342579
2003-09-14,0.0,0.8707743,174.65118766296655
2003-09-15,0.0,0.83332247,175.48451012838632
2003-09-16,0.0,0.802885,176.28739512432367
2003-09-17,0.0,0.7929729,177.0803680466488
2003-09-18,0.0,0.8003682,177.8807362364605
2003-09-19,0.0,0.7880255,178.6687617348507
2003-09-20,0.0,0.77399445,179.4427561806515
2003-09-21,0.0,0.77697396,180.2197301434353
2003-09-22,0.0,0.79754174,181.01727188099176
2003-09-23,0.0,0.8125964,181.82986826170236
2003-09-24,0.0,0.80916417,182.63903242815286
2003-09-25,0.0,0.80162084,183.44065326917917
2003-09-26,0.0,0.80934656,184.24999982584268
2003-09-27,0.0,0.835259,185.0852588461712
2003-09-28,0.0,0.85652804,185.94178688991815
2003-09-29,0.0,0.8642933,186.8060801671818
2003-09-30,0.0,0.8892126,187.6952927755192
2003-10-01,0.0,0.9162025,188.61149526108056
2003-10-02,0.0,0.9164271,189.52792233694345
2003-10-03,0.0,0.90475607,190.4326784061268
2003-10-04,0.0,0.8839047,191.31658310163766
2003-10-05,0.0,0.8563081,192.1728912042454
2003-10-06,0.0,0.83814543,193.0110366391018
2003-10-07,0.0,0.81347257,193.8245092080906
2003-10-08,0.0,0.7925684,194.61707759369165
2003-10-09,0.0,0.7744404,195.39151800144464
2003-10-10,0.0,0.76453185,196.15604985225946
2003-10-11,0.0,0.79171944,196.94776928890496
2003-10-12,0.0,0.7771319,197.72490120399743
2003-10-13,0.0,0.74262136,198.46752256620675
2003-10-14,0.0,0.7075919,199.1751144574955
2003-10-15,0.0,0.6788517,199.85396618116647
2003-10-16,0.0,0.6666291,200.5205952571705
2003-10-17,0.0,0.6488725,201.16946775186807
2003-10-18,0.0,0.6264076,201.79587537515908
2003-10-19,0.0,0.6061168,202.40199214685708
2003-10-20,0.0,0.59079766,202.99278980959207
2003-10-21,0.0,0.58530706,203.57809687126428
2003-10-22,0.0,0.5713493,204.14944619406015
2003-10-23,0.0,0.557346,204.70679218042642
2003-10-24,0.0,0.53967994,205.24647212494165
2003-10-25,0.0,0.5424138,205.78888589609414
2003-10-26,0.0,0.5360846,206.32497048843652
2003-10-27,0.0,0.530989,206.85595947969705
2003-10-28,0.0,0.5214235,207.37738299835473
2003-10-29,0.0,0.52134895,207.8987319516018
2003-10-30,0.0,0.5104832,208.40921515692025
2003-10-31,2.227999925613404,0.54106367,206.72227889765054
2003-11-01,1.5750000476837158,0.5807749,205.72805375326425
2003-11-02,0.0,0.6175222,206.34557593334466
2003-11-03,4.920000076293945,0.62017673,202.04575258959085
2003-11-04,0.0,0.591977,202.63772958982736
2003-11-05,0.2919999957084656,0.5450171,202.89074671734124
2003-11-06,0.1260000020265579,0.48871553,203.25346224475652
2003-11-07,4.769999980926514,0.47036678,198.95382903981954
2003-11-08,5.412000179290772,0.42080712,193.96263598371297
2003-11-09,24.54599952697754,0.37865824,169.79529469180852
2003-11-10,5.671000003814697,0.36138743,164.48568211961538
2003-11-11,0.0,0.3420143,164.82769643235952
2003-11-12,0.0,0.34227705,165.16997348237783
2003-11-13,0.0,0.3232358,165.49320929218084
2003-11-14,0.0,0.2866634,165.77987270522863
2003-11-15,3.236000061035156,0.29056638,162.8344390289858
2003-11-16,0.8289999961853027,0.28167993,162.28711896110326
2003-11-17,0.0,0.26386625,162.55098520684987
2003-11-18,0.0,0.27744472,162.82842992711812
2003-11-19,0.0,0.27180386,163.10023378301412
2003-11-20,0.0,0.2611004,163.36133419442922
2003-11-21,0.0,0.26311892,163.62445311713964
2003-11-22,0.0,0.25838238,163.88283549714833
2003-11-23,0.0,0.2770695,164.15990500617772
2003-11-24,0.0,0.28603137,164.44593637157232
2003-11-25,0.0,0.27613658,164.72207294870168
2003-11-26,0.0,0.27039683,164.9924697773531
2003-11-27,0.0,0.28939658,165.28186636138707
2003-11-28,0.0,0.2965957,165.57846205402166
2003-11-29,4.982999801635742,0.3017075,160.89716975856572
2003-11-30,6.041999816894531,0.30403197,155.15920190978795
2003-12-01,9.838000297546388,0.30766237,145.6288639800623
2003-12-02,21.530000686645508,0.28565276,124.38451605010778
2003-12-03,0.0,0.29274642,124.67726247478276
2003-12-04,0.0,0.3125674,124.989829887636
2003-12-05,7.080999851226807,0.30701005,118.21584009099752
2003-12-06,1.1390000581741333,0.30862802,117.38546805549413
2003-12-07,8.460000038146973,0.32329792,109.24876593519002
2003-12-08,0.0,0.2952981,109.54406403470784
2003-12-09,0.0,0.2944861,109.83855014014989
2003-12-10,26.489999771118164,0.29210693,83.64065729547292
2003-12-11,5.263999938964844,0.31762773,78.69428508449346
2003-12-12,0.6179999709129333,0.30465382,78.38093893695623
2003-12-13,4.11299991607666,0.3110078,74.57894681859761
2003-12-14,12.597000122070312,0.33069217,62.31263886857778
2003-12-15,0.0,0.30774754,62.6203864114359
2003-12-16,0.0,0.3020103,62.92239670921117
2003-12-17,0.0,0.32331055,63.24570726323873
2003-12-18,0.0,0.33931464,63.58502190280706
2003-12-19,0.0,0.3315423,63.916564215905964
2003-12-20,16.759000778198242,0.314556,47.472119440324605
2003-12-21,8.979000091552734,0.3268475,38.8199668424204
2003-12-22,0.0,0.32325727,39.14322410989553
2003-12-23,3.3949999809265137,0.32607496,36.07429908681661
2003-12-24,21.972999572753903,0.32087916,14.422178675420586
2003-12-25,5.249000072479248,0.32345504,9.49663363862783
2003-12-26,0.0,0.31143028,9.808063914068047
2003-12-27,0.0,0.31281227,10.120876182802025
2003-12-28,0.0,0.33150995,10.45238613057882
2003-12-29,16.861000061035156,0.3618486,0.0
2003-12-30,25.6560001373291,0.3635028,0.0
2003-12-31,0.0,0.3779084,0.3779084086418152
2004-01-01,5.855999946594238,0.42582518,0.0
2004-01-02,13.156000137329102,0.43380183,0.0
2004-01-03,1.3519999980926514,0.4264307,0.0
2004-01-04,0.0,0.4594695,0.4594694972038269
2004-01-05,0.0,0.4910211,0.9504905939102173
2004-01-06,0.0,0.5230093,1.4734998941421509
2004-01-07,6.428999900817871,0.5455652,0.0
2004-01-08,10.34000015258789,0.5531338,0.0
2004-01-09,5.620999813079834,0.5653872,0.0
2004-01-10,11.897000312805176,0.5750095,0.0
2004-01-11,0.0,0.5797076,0.5797076225280762
2004-01-12,0.0,0.59833515,1.1780427694320679
2004-01-13,0.0,0.6061256,1.7841683626174927
2004-01-14,0.0,0.62694824,2.411116600036621
2004-01-15,2.7869999408721924,0.6419256,0.26604223251342773
2004-01-16,0.0,0.6566924,0.9227346181869507
2004-01-17,0.0,0.664969,1.5877036452293396
2004-01-18,0.0,0.68389684,2.2716004848480225
2004-01-19,0.0,0.69505304,2.966653525829315
2004-01-20,0.0,0.69932115,3.6659746766090393
2004-01-21,0.0,0.7171234,4.383098065853119
2004-01-22,0.0,0.73431087,5.117408931255341
2004-01-23,0.0,0.7418486,5.859257519245148
2004-01-24,4.361999988555908,0.771408,2.2686655521392822
2004-01-25,0.8159999847412109,0.77390933,2.2265748977661133
2004-01-26,0.0780000016093254,0.78996015,2.9385350421071053
2004-01-27,2.1519999504089355,0.8005677,1.5871027782559395
2004-01-28,10.18000030517578,0.8220732,0.0
2004-01-29,0.0,0.8075131,0.8075131177902222
2004-01-30,0.3600000143051147,0.8128545,1.2603676319122314
2004-01-31,0.0,0.8256551,2.086022734642029
2004-02-01,0.4020000100135803,0.84535486,2.529377579689026
2004-02-02,8.404000282287598,0.8643275,0.0
2004-02-03,17.464000701904297,0.8715483,0.0
2004-02-04,2.2679998874664307,0.8583232,0.0
2004-02-05,0.0,0.8568219,0.8568218946456909
2004-02-06,0.0,0.8707053,1.7275272011756897
2004-02-07,1.4210000038146973,0.891563,1.1980901956558228
2004-02-08,0.0,0.90960103,2.10769122838974
2004-02-09,0.0,0.92936414,3.0370553731918335
2004-02-10,0.0,0.9385196,3.9755749702453613
2004-02-11,0.0,0.94774145,4.923316419124603
2004-02-12,0.0,0.980672,5.903988420963287
2004-02-13,0.0,1.0171784,6.921166837215424
2004-02-14,2.183000087738037,1.0633361,5.801502883434296
2004-02-15,2.696000099182129,1.0974189,4.202921688556671
2004-02-16,21.757999420166016,1.1266896,0.0
2004-02-17,38.77299880981445,1.1124828,0.0
2004-02-18,28.3439998626709,1.1127322,0.0
2004-02-19,0.9860000014305116,1.168469,0.1824689507484435
2004-02-20,0.0,1.2193236,1.401792585849762
2004-02-21,0.0,1.2354076,2.637200176715851
2004-02-22,2.775000095367432,1.248415,1.1106150746345516
2004-02-23,4.610000133514404,1.2638351,0.0
2004-02-24,3.3410000801086426,1.2760744,0.0
2004-02-25,22.468000411987305,1.3263395,0.0
2004-02-26,28.746000289916992,1.3450751,0.0
2004-02-27,3.434999942779541,1.3996754,0.0
2004-02-28,0.1150000020861625,1.46041,1.3454099968075752
2004-02-29,0.0,1.5043652,2.8497752025723457
2004-03-01,2.233999967575073,1.5436908,2.159466035664082
2004-03-02,17.80900001525879,1.613405,0.0
2004-03-03,0.0,1.634526,1.634526014328003
2004-03-04,0.0,1.6887488,3.323274850845337
2004-03-05,0.0,1.7116145,5.034889340400696
2004-03-06,0.0,1.7165754,6.7514647245407104
2004-03-07,0.0,1.7088331,8.46029782295227
2004-03-08,0.0,1.7078605,10.168158292770386
2004-03-09,0.0,1.7144046,11.88256287574768
2004-03-10,0.0,1.7055244,13.588087320327759
2004-03-11,0.0,1.629946,15.21803331375122
2004-03-12,0.0,1.6977224,16.91575574874878
2004-03-13,0.0,1.6822768,18.598032593727112
2004-03-14,0.0,1.5819905,20.180023074150085
2004-03-15,0.0,1.5709395,21.750962615013123
2004-03-16,0.0,1.5318413,23.282803893089294
2004-03-17,0.0,1.4810652,24.763869047164917
2004-03-18,0.0,1.5071257,26.270994782447815
2004-03-19,0.0,1.570622,27.84161674976349
2004-03-20,0.0,1.676444,29.51806080341339
2004-03-21,0.0,1.7293307,31.24739146232605
2004-03-22,0.0,1.7888595,33.036250948905945
2004-03-23,0.0,1.8504667,34.886717677116394
2004-03-24,0.0,1.9227759,36.80949354171753
